sourcemmsi,imonumber,callsign,shipname,shiptype,tobow,tostern,tostarboard,toport,eta,draught,destination,mothershipmmsi,t
304091000,9509255,V2GU5 ,HC JETTE-MARIT,30,,,,,04-09 20:00 ,10.1,BREST ,,1443650423
228037600,0,FIHX ,AEROUANT BREIZH ,30,6,9,5,2,00-00 24:60 ,0, ,,1443650457
227705102,262144,FGD5860 ,BINDY ,60,9,26,5,4,00-00 24:60 ,0, ,,1443650474
245257000,9148142,PFHD ,EEMS CARRIER ,70,75,9,3,8,30-09 17:00 ,2.7,BREST ,,1443650535
227002330,0,FO4922 ,ANDRE COLIN ,60,15,20,2,5,25-09 10:30 ,1.8,BREST ,,1443650591
227003050,0,FV5533 ,ENEZ EUSSA 3 ,60,25,20,4,5,29-09 19:50 ,2.8,BREST ,,1443650611
227443000,0,FITP ,F/V PROMETHEE ,30,11,9,3,3,00-00 24:60 ,0, ,,1443650629
234056000,7703106,GKCT ,VN PARTISAN ,70,20,58,9,6,28-09 14:00 ,5.9,WORKING AREA ,,1443650629
311153000,9001772,C6WL6 ,POLAR SPIRIT ,80,185,54,25,15,22-09 08:00 ,8.2,BREST ,,1443650638
311018500,9410569,C6XP7 ,NORWEGIAN EPIC ,60,47,282,24,16,27-09 10:00 ,9,BREST ,,1443650678
228931000,0,FHZW ,F/V CARLA EGLANTINE ,30,10,10,3,2,00-00 24:60 ,3.4,LA TURBALLE ,,1443650680
228131600,0,FKVW ,F/V LE NATIF 2 ,30,8,8,2,2,00-00 24:60 ,0,ST GILLE + DE UIE ,,1443650684
304091000,9509255,V2GU5 ,HC JETTE-MARIT ,70,130,30,18,6,04-09 20:00 ,10.1,BREST ,,1443650783
228037600,0,FIHX ,AEROUANT BREIZH ,30,6,9,5,2,00-00 24:60 ,0, ,,1443650816
245257000,9148142,PFHD ,EEMS CARRIER ,70,75,9,3,8,30-09 17:00 ,2.7,BREST ,,1443650895
227002330,0,FO4922 ,ANDRE COLIN ,60,15,20,2,5,25-09 10:30 ,1.8,BREST ,,1443650951
227003050,0,FV5533 ,ENEZ EUSSA 3 ,60,25,20,4,5,29-09 19:50 ,2.8,BREST ,,1443650972
227443000,0,FITP ,F/V PROMETHEE ,30,11,9,3,3,00-00 24:60 ,0, ,,1443650989
311153000,9001772,C6WL6 ,POLAR SPIRIT ,80,185,54,25,15,22-09 08:00 ,8.2,BREST ,,1443650998
311018500,9410569,C6XP7 ,NORWEGIAN EPIC ,60,47,282,24,16,27-09 10:00 ,9,BREST ,,1443651036
228131600,0,FKVW ,F/V LE NATIF 2 ,30,8,8,2,2,00-00 24:60 ,0,ST GILLE + DE UIE ,,1443651044
304091000,9509255,V2GU5 ,HC JETTE-MARIT ,70,130,30,18,6,04-09 20:00 ,10.1,BREST ,,1443651143
228037600,0,FIHX ,AEROUANT BREIZH ,30,6,9,5,2,00-00 24:60 ,0, ,,1443651176
245257000,9148142,PFHD ,EEMS CARRIER ,70,75,9,3,8,30-09 17:00 ,2.7,BREST ,,1443651255
227002330,0,FO4922 ,ANDRE COLIN ,60,15,20,2,5,25-09 10:30 ,1.8,BREST ,,1443651312
234056000,7703106,GKCT ,VN PARTISAN ,70,20,58,9,6,28-09 14:00 ,5.9,WORKING AREA ,,1443651349
